date,cloud_cover,sunshine,global_radiation,max_temp,mean_temp,min_temp,precipitation,pressure,snow_depth
2020-07-01,6.0,0.2,147.0,22.6,18.4,14.2,2.0,100540.0,
2020-07-02,5.0,3.5,211.0,22.6,17.3,12.0,2.0,101060.0,
2020-07-03,7.0,5.8,253.0,22.6,17.3,12.1,3.0,101590.0,
2020-07-04,8.0,5.0,258.0,21.5,18.0,14.6,0.0,101120.0,
2020-07-05,3.0,1.5,153.0,23.1,20.0,16.9,0.0,101050.0,
2020-07-06,4.0,9.7,342.0,20.2,15.8,11.5,0.0,101840.0,
2020-07-07,7.0,4.1,222.0,22.6,17.0,11.4,8.0,102080.0,
2020-07-08,8.0,3.8,200.0,20.5,16.8,13.2,2.8,101500.0,
2020-07-09,7.0,0.1,129.0,20.6,18.1,15.7,2.8,101190.0,
2020-07-10,6.0,0.4,122.0,19.7,16.0,12.4,0.0,101960.0,
2020-07-11,4.0,6.0,279.0,21.6,15.1,8.7,0.0,102700.0,
2020-07-12,7.0,11.0,320.0,25.2,17.6,10.0,0.0,102750.0,
2020-07-13,7.0,13.8,366.0,26.2,19.4,12.7,1.0,102370.0,
2020-07-14,7.0,7.0,290.0,23.1,19.1,15.2,0.0,101670.0,
2020-07-15,8.0,1.5,196.0,19.5,16.5,13.6,0.0,101600.0,
2020-07-16,6.0,1.0,133.0,,,16.1,,102030.0,
2020-07-17,2.0,3.8,220.0,28.6,22.8,17.0,0.0,102060.0,
2020-07-18,5.0,11.8,351.0,26.4,20.7,15.1,0.2,101850.0,
2020-07-19,6.0,7.6,307.0,21.5,18.7,15.9,0.6,101760.0,
2020-07-20,1.0,3.5,198.0,22.6,16.6,10.6,0.0,102260.0,
2020-07-21,3.0,14.7,377.0,22.7,16.4,10.2,0.0,102600.0,
2020-07-22,4.0,13.0,360.0,26.4,20.0,13.6,0.0,102360.0,
2020-07-23,7.0,10.6,325.0,26.6,20.0,13.4,0.0,101680.0,
2020-07-24,7.0,4.0,245.0,25.6,20.8,16.1,0.0,101250.0,
2020-07-25,7.0,1.1,180.0,23.1,20.3,17.5,8.0,100800.0,
2020-07-26,6.0,0.7,129.0,23.7,18.1,12.6,2.4,100980.0,
2020-07-27,7.0,3.3,196.0,21.6,18.6,15.6,2.4,100810.0,
2020-07-28,3.0,1.0,128.0,21.6,17.0,12.5,0.0,101310.0,
2020-07-29,6.0,7.8,256.0,24.6,17.1,9.6,0.0,101990.0,
2020-07-30,1.0,12.1,337.0,29.7,21.3,13.0,0.0,101840.0,
2020-07-31,0.0,14.8,351.0,37.9,27.2,16.6,0.0,101130.0,
2020-08-01,4.0,10.6,305.0,27.7,21.7,15.7,0.0,101460.0,
2020-08-02,3.0,10.4,299.0,25.5,18.5,11.6,0.0,101640.0,
2020-08-03,2.0,9.9,303.0,23.6,18.7,13.9,0.0,101560.0,
2020-08-04,3.0,10.0,289.0,25.0,18.0,11.1,0.0,101630.0,
2020-08-05,6.0,9.4,275.0,26.9,21.2,15.6,0.0,101280.0,
2020-08-06,7.0,6.8,270.0,29.7,23.9,18.2,0.0,101640.0,
2020-08-07,2.0,6.2,232.0,36.5,26.2,16.0,0.0,101780.0,
2020-08-08,7.0,9.9,278.0,33.5,27.1,20.7,0.0,101870.0,
2020-08-09,3.0,7.3,256.0,33.9,25.6,17.4,0.0,101800.0,
2020-08-10,3.0,10.9,290.0,,,18.7,0.0,101370.0,
2020-08-11,1.0,12.8,297.0,35.7,28.4,21.2,0.0,101400.0,
2020-08-12,3.0,10.1,267.0,35.5,28.6,21.7,0.4,101290.0,
2020-08-13,6.0,8.1,227.0,28.5,24.9,21.4,3.0,101220.0,
2020-08-14,8.0,3.4,152.0,20.2,18.7,17.2,0.8,101360.0,
2020-08-15,8.0,0.0,75.0,19.6,18.1,16.6,0.0,101470.0,
2020-08-16,5.0,0.4,76.0,24.9,21.7,18.6,0.8,101070.0,
2020-08-17,6.0,1.8,152.0,25.1,20.1,15.1,3.0,100780.0,
2020-08-18,4.0,6.3,223.0,25.1,20.6,16.2,3.0,100870.0,
2020-08-19,7.0,5.2,182.0,19.6,17.2,14.9,13.6,100440.0,
2020-08-20,1.0,1.7,85.0,25.9,21.0,16.1,0.0,100220.0,
2020-08-21,5.0,12.2,287.0,24.0,20.8,17.6,0.0,100270.0,
2020-08-22,3.0,5.4,209.0,24.5,20.4,16.4,0.2,101120.0,
2020-08-23,5.0,9.5,253.0,23.6,19.1,14.7,0.0,101600.0,
2020-08-24,6.0,5.0,208.0,23.7,18.6,13.6,11.0,101560.0,
2020-08-25,6.0,2.3,176.0,22.5,19.0,15.6,3.0,100270.0,
2020-08-26,6.0,1.8,135.0,23.6,19.4,15.2,0.0,101040.0,
2020-08-27,7.0,4.8,194.0,18.4,15.7,13.0,11.0,101200.0,
2020-08-28,7.0,1.2,105.0,20.4,16.7,13.0,6.0,100100.0,
2020-08-29,7.0,3.6,176.0,16.4,13.8,11.2,0.4,100770.0,
2020-08-30,7.0,0.7,123.0,18.0,14.8,11.6,0.0,101680.0,
2020-08-31,7.0,2.5,134.0,18.5,13.3,8.1,0.0,102190.0,
2020-09-01,1.0,4.9,195.0,21.0,13.8,6.6,0.0,102090.0,
2020-09-02,5.0,10.7,239.0,20.5,14.8,9.1,1.0,101920.0,
2020-09-03,7.0,3.6,136.0,22.5,19.0,15.5,1.0,101560.0,
2020-09-04,7.0,0.4,93.0,20.9,16.7,12.5,0.6,102070.0,
2020-09-05,3.0,3.4,153.0,20.1,14.8,9.6,0.0,102100.0,
2020-09-06,6.0,8.1,201.0,20.6,15.3,10.1,0.0,102080.0,
2020-09-07,6.0,4.4,179.0,22.0,16.0,10.0,0.0,102290.0,
2020-09-08,5.0,1.9,142.0,25.7,20.9,16.1,0.0,102400.0,
2020-09-09,5.0,3.5,150.0,22.4,18.4,14.4,0.0,102350.0,
2020-09-10,4.0,2.3,121.0,20.4,14.7,9.1,0.0,102360.0,
2020-09-11,6.0,8.9,211.0,20.4,14.5,8.7,0.2,101760.0,
2020-09-12,5.0,5.5,184.0,22.7,17.5,12.4,0.0,101870.0,
2020-09-13,2.0,9.6,213.0,25.6,19.2,12.9,0.0,102310.0,
2020-09-14,0.0,12.8,231.0,29.6,20.5,11.4,0.0,102170.0,
2020-09-15,3.0,11.8,226.0,29.5,22.3,15.1,0.0,101780.0,
2020-09-16,5.0,9.3,195.0,26.6,22.6,18.6,0.0,102270.0,
2020-09-17,1.0,7.5,179.0,22.6,17.7,12.9,0.0,102830.0,
2020-09-18,3.0,11.9,220.0,22.0,15.8,9.7,0.0,102320.0,
2020-09-19,2.0,10.7,212.0,25.2,18.9,12.6,0.0,101750.0,
2020-09-20,0.0,10.9,202.0,25.2,19.4,13.7,0.0,101840.0,
2020-09-21,4.0,10.8,194.0,24.9,19.4,13.9,0.0,101780.0,
2020-09-22,3.0,8.3,173.0,25.7,18.9,12.2,1.0,101050.0,
2020-09-23,7.0,8.4,165.0,18.6,17.0,15.4,7.0,100080.0,
2020-09-24,5.0,0.6,86.0,16.9,12.5,8.1,3.0,99640.0,
2020-09-25,5.0,3.4,112.0,15.1,10.8,6.5,0.2,100090.0,
2020-09-26,4.0,6.2,164.0,13.6,10.1,6.6,0.0,101110.0,
2020-09-27,7.0,5.0,146.0,14.6,12.6,10.6,0.0,101260.0,
2020-09-28,3.0,1.6,92.0,18.2,13.2,8.2,2.0,101360.0,
2020-09-29,5.0,5.8,156.0,19.6,17.1,14.7,0.2,101490.0,
2020-09-30,7.0,4.0,130.0,18.1,14.1,10.2,3.0,100870.0,
2020-10-01,6.0,0.9,74.0,16.4,13.7,11.0,4.0,99820.0,
2020-10-02,8.0,2.1,94.0,13.2,11.5,9.9,30.0,98840.0,
2020-10-03,8.0,0.0,30.0,15.9,14.4,12.9,31.0,98680.0,
2020-10-04,8.0,0.3,57.0,11.1,10.0,8.9,5.0,98210.0,
2020-10-05,6.0,0.9,54.0,18.6,13.8,9.1,3.4,99390.0,
2020-10-06,5.0,3.7,124.0,17.5,14.2,10.9,0.0,99780.0,
2020-10-07,5.0,4.7,123.0,17.0,12.6,8.2,4.0,101170.0,
2020-10-08,7.0,5.1,132.0,,,12.2,0.4,101110.0,
2020-10-09,3.0,1.4,81.0,15.1,10.6,6.2,2.0,101860.0,
2020-10-10,4.0,2.9,86.0,14.1,9.5,4.9,0.0,102240.0,
2020-10-11,4.0,0.2,70.0,14.6,11.3,8.1,0.0,102490.0,
2020-10-12,7.0,6.1,111.0,13.6,9.9,6.2,4.0,102070.0,
2020-10-13,6.0,0.0,53.0,11.9,9.0,6.2,1.8,101050.0,
2020-10-14,5.0,0.6,69.0,14.9,11.6,8.4,2.2,101960.0,
2020-10-15,4.0,2.7,97.0,13.5,10.6,7.7,1.0,102430.0,
2020-10-16,3.0,4.9,111.0,14.2,10.7,7.2,0.0,102480.0,
2020-10-17,7.0,2.7,75.0,12.6,11.1,9.6,0.0,102270.0,
2020-10-18,7.0,0.0,51.0,13.0,9.9,6.9,0.0,102390.0,
2020-10-19,7.0,0.9,69.0,16.1,11.8,7.6,2.0,101660.0,
2020-10-20,7.0,2.9,97.0,18.9,15.5,12.1,4.2,100190.0,
2020-10-21,7.0,0.7,67.0,16.1,15.1,14.1,13.0,99650.0,
2020-10-22,4.0,0.8,36.0,17.0,14.3,11.6,0.0,100720.0,
2020-10-23,7.0,4.6,90.0,16.7,13.4,10.1,0.0,100840.0,
2020-10-24,7.0,2.0,59.0,16.2,12.1,8.0,21.0,100340.0,
2020-10-25,1.0,0.9,48.0,13.0,10.2,7.4,0.8,99620.0,
2020-10-26,3.0,3.1,75.0,13.5,10.0,6.5,0.4,99730.0,
2020-10-27,4.0,2.4,63.0,14.1,9.5,5.0,1.0,99860.0,
2020-10-28,6.0,0.0,36.0,13.9,10.9,8.0,2.2,100180.0,
2020-10-29,8.0,1.0,58.0,14.6,11.1,7.6,3.0,101130.0,
2020-10-30,8.0,0.0,28.0,16.2,15.2,14.2,0.2,101540.0,
2020-10-31,7.0,0.0,30.0,15.6,14.5,13.5,7.0,101240.0,
2020-11-01,8.0,0.7,29.0,17.2,13.7,10.2,0.4,100450.0,
2020-11-02,4.0,0.7,37.0,17.1,16.6,16.1,3.8,100360.0,
2020-11-03,4.0,3.7,74.0,11.5,8.8,6.2,2.0,101790.0,
2020-11-04,1.0,3.6,72.0,12.4,6.7,1.1,0.0,103200.0,
2020-11-05,4.0,6.9,86.0,10.9,6.2,1.5,0.2,103900.0,
2020-11-06,6.0,3.0,61.0,12.0,6.8,1.6,0.2,103040.0,
2020-11-07,4.0,2.9,67.0,15.4,9.7,4.1,0.2,102040.0,
2020-11-08,7.0,4.8,71.0,14.1,11.3,8.6,2.0,101810.0,
2020-11-09,7.0,0.0,34.0,16.4,13.2,10.0,7.0,101910.0,
2020-11-10,4.0,0.0,38.0,16.1,12.9,9.7,0.0,102270.0,
2020-11-11,8.0,2.5,55.0,14.0,10.0,6.1,6.2,101920.0,
2020-11-12,4.0,0.2,37.0,13.6,11.5,9.5,0.0,101260.0,
2020-11-13,4.0,4.4,66.0,12.9,11.2,9.5,1.4,101190.0,
2020-11-14,8.0,2.4,49.0,14.1,11.3,8.5,17.0,100820.0,
2020-11-15,4.0,0.7,23.0,13.6,12.8,12.0,6.0,99650.0,
2020-11-16,7.0,1.9,45.0,12.5,9.9,7.4,0.8,101060.0,
2020-11-17,7.0,0.4,35.0,14.6,12.6,10.7,0.0,101990.0,
2020-11-18,7.0,1.2,41.0,16.0,13.5,11.1,0.6,101700.0,
2020-11-19,4.0,1.6,40.0,10.6,9.2,7.9,0.2,102430.0,
2020-11-20,8.0,1.5,29.0,9.7,5.3,0.9,1.0,103380.0,
2020-11-21,7.0,0.0,27.0,12.6,11.1,9.6,0.2,102720.0,
2020-11-22,6.0,0.4,32.0,11.1,10.2,9.4,0.2,102630.0,
2020-11-23,7.0,2.8,45.0,10.5,6.3,2.1,0.0,102740.0,
2020-11-24,7.0,0.9,33.0,12.5,10.2,8.0,0.0,101840.0,
2020-11-25,7.0,1.5,40.0,13.7,10.4,7.1,0.2,101220.0,
2020-11-26,4.0,0.4,23.0,9.0,6.5,4.1,0.0,102080.0,
2020-11-27,7.0,0.8,34.0,6.5,2.9,-0.6,0.2,101970.0,
2020-11-28,8.0,1.6,35.0,10.1,7.6,5.1,0.0,101780.0,
2020-11-29,8.0,0.0,20.0,8.2,8.2,8.2,0.0,102540.0,
2020-11-30,7.0,0.0,17.0,10.2,7.6,5.1,0.0,102480.0,
2020-12-01,2.0,1.0,22.0,8.0,5.9,3.9,0.0,102520.0,
2020-12-02,7.0,5.0,51.0,7.0,4.5,2.1,0.4,101960.0,
2020-12-03,6.0,0.0,20.0,7.4,5.2,3.1,15.0,99340.0,
2020-12-04,7.0,0.0,8.0,5.7,4.4,3.2,0.0,97660.0,
2020-12-05,2.0,0.8,26.0,8.1,5.6,3.1,0.0,98950.0,
2020-12-06,7.0,2.4,37.0,5.2,3.6,2.0,0.2,100130.0,
2020-12-07,8.0,1.0,24.0,2.2,0.9,-0.3,3.0,99940.0,
2020-12-08,7.0,0.2,18.0,4.5,2.2,0.0,2.2,100280.0,
2020-12-09,7.0,1.3,33.0,6.6,4.5,2.4,0.0,100630.0,
2020-12-10,7.0,0.0,25.0,7.5,6.0,4.5,9.0,100000.0,
2020-12-11,6.0,0.0,16.0,11.2,9.0,6.9,0.0,98740.0,
2020-12-12,1.0,0.1,28.0,9.9,8.4,7.0,0.0,99720.0,
2020-12-13,8.0,0.0,27.0,11.1,5.8,0.5,6.0,100340.0,
2020-12-14,6.0,0.5,16.0,12.6,11.1,9.6,1.4,99870.0,
2020-12-15,2.0,2.4,32.0,11.6,8.6,5.6,1.0,100480.0,
2020-12-16,7.0,3.1,36.0,10.6,8.6,6.6,3.2,100710.0,
2020-12-17,3.0,1.1,25.0,11.6,8.9,6.2,0.0,101320.0,
2020-12-18,8.0,4.4,38.0,11.6,10.3,9.0,1.8,101130.0,
2020-12-19,3.0,0.5,15.0,12.5,11.2,9.9,9.0,100450.0,
2020-12-20,1.0,3.3,37.0,10.6,8.6,6.7,0.6,101170.0,
2020-12-21,8.0,3.9,37.0,13.9,9.5,5.1,3.0,100770.0,
2020-12-22,8.0,0.0,16.0,11.7,11.7,11.7,0.6,100970.0,
2020-12-23,7.0,0.0,23.0,14.0,12.0,10.1,1.8,100550.0,
2020-12-24,2.0,1.3,32.0,6.1,6.1,6.1,0.0,101830.0,
2020-12-25,6.0,3.5,40.0,4.6,2.6,0.7,0.0,103100.0,
2020-12-26,,2.1,38.0,10.0,4.9,-0.1,12.0,101960.0,
2020-12-27,1.0,0.9,32.0,7.5,7.5,7.6,2.0,98000.0,
2020-12-28,7.0,3.7,38.0,3.6,1.1,-1.3,0.2,97370.0,
2020-12-29,7.0,0.0,21.0,4.1,2.6,1.1,0.0,98830.0,
2020-12-30,6.0,0.4,22.0,5.6,2.7,-0.1,0.0,100200.0,
2020-12-31,7.0,1.3,34.0,1.5,-0.8,-3.1,0.0,100500.0,
